line_number length LLaMA DAM H2O MoA StreamingLLM
200 3k 1.0 0.99 0.93 0.92 0.94
300 4k 1.0 1.0 0.93 0.93 0.92
400 5k 0.98 0.98 0.95 0.92 0.94
500 6k 0.99 1.0 0.91 0.95 0.9
600 8k 0.92 0.94 0.86 0.86 0.83
700 9k 0.93 0.93 0.84 0.83 0.87
800 10k 0.92 0.89 0.77 0.79 0.82
900 12k 0.87 0.87 0.75 0.8 0.8
1000 13k 0.91 0.9 0.75 0.81 0.79
1100 14k 0.89 0.88 0.85 0.83 0.88
1200 15k 0.87 0.88 0.75 0.74 0.79
1300 17k 0.84 0.84 0.78 0.72 0.8
1400 18k 0.93 0.94 0.82 0.83 0.79
1500 19k 0.89 0.87 0.79 0.78 0.69
1600 20k 0.85 0.85 0.72 0.64 0.71
1700 22k 0.84 0.83 0.72 0.64 0.72
1800 23k 0.85 0.85 0.71 0.74 0.76
1900 24k 0.76 0.79 0.67 0.68 0.71
2000 25k 0.83 0.82 0.67 0.62 0.67
2100 27k 0.61 0.62 0.55 0.5 0.54
2200 28k 0.74 0.71 0.57 0.57 0.63
2300 29k 0.72 0.71 0.61 0.63 0.58
2400 31k 0.66 0.67 0.49 0.54 0.58
2500 32k 0.66 0.69 0.58 0.57 0.55
2600 33k 0.69 0.7 0.51 0.58 0.59
2700 34k 0.61 0.6 0.53 0.5 0.48
2800 36k 0.56 0.56 0.39 0.43 0.42
2900 37k 0.58 0.56 0.42 0.47 0.44
3000 38k 0.51 0.53 0.42 0.4 0.35
3100 39k 0.55 0.57 0.45 0.44 0.38
3200 41k 0.51 0.42 0.41 0.39 0.38
3300 42k 0.41 0.4 0.3 0.3 0.35
3400 43k 0.45 0.45 0.34 0.38 0.27
3500 45k 0.47 0.44 0.35 0.35 0.34
3600 46k 0.47 0.49 0.35 0.29 0.3
3700 47k 0.54 0.59 0.3 0.41 0.36
3800 48k 0.43 0.43 0.32 0.35 0.32
3900 50k 0.43 0.44 0.31 0.27 0.3
4000 51k 0.47 0.49 0.29 0.35 0.37
4100 52k 0.31 0.36 0.28 0.26 0.24
4200 53k 0.47 0.47 0.39 0.33 0.36
4300 55k 0.4 0.47 0.31 0.39 0.3
4400 56k 0.37 0.4 0.33 0.29 0.28
4500 57k 0.4 0.35 0.21 0.3 0.26
4600 59k 0.32 0.35 0.24 0.26 0.25
4700 60k 0.39 0.4 0.28 0.29 0.25
4800 61k 0.39 0.39 0.29 0.26 0.3
4900 62k 0.36 0.37 0.22 0.24 0.25
5000 64k 0.29 0.3 0.21 0.25 0.2
5100 65k 0.43 0.46 0.28 0.23 0.3
5200 66k 0.39 0.39 0.32 0.23 0.25
5300 67k 0.41 0.42 0.3 0.32 0.33
5400 69k 0.34 0.34 0.22 0.23 0.2
5500 70k 0.34 0.36 0.23 0.32 0.25
5600 71k 0.35 0.36 0.27 0.24 0.26
5700 73k 0.34 0.31 0.19 0.22 0.28
5800 74k 0.38 0.4 0.25 0.28 0.29
5900 75k 0.35 0.33 0.19 0.28 0.26
6000 76k 0.29 0.28 0.22 0.21 0.22
6100 78k 0.32 0.32 0.24 0.21 0.2
6200 79k 0.28 0.27 0.14 0.18 0.14
6300 80k 0.18 0.2 0.17 0.15 0.15
6400 81k 0.29 0.29 0.14 0.16 0.2
6500 83k 0.18 0.21 0.13 0.1 0.13
6600 84k 0.16 0.22 0.17 0.17 0.15
6700 85k 0.29 0.28 0.17 0.19 0.21
6800 87k 0.26 0.2 0.16 0.2 0.19
6900 88k 0.27 0.25 0.21 0.17 0.19
7000 89k 0.26 0.26 0.19 0.2 0.12
7100 90k 0.28 0.24 0.16 0.13 0.18
7200 92k 0.25 0.27 0.19 0.17 0.18
7300 93k 0.12 0.17 0.06 0.07 0.04
7400 94k 0.18 0.15 0.12 0.12 0.14
7500 95k 0.18 0.19 0.07 0.15 0.09
7600 97k 0.22 0.23 0.14 0.13 0.2
7700 98k 0.1 0.14 0.12 0.08 0.08
7800 99k 0.13 0.13 0.09 0.04 0.07
7900 101k 0.14 0.15 0.05 0.1 0.09
8000 102k 0.26 0.21 0.18 0.09 0.09
8100 103k 0.17 0.15 0.14 0.14 0.13
