Model,Seq Len,GPU Memory (MB),Throughput (tok/s),Latency (s)
HanzhiZhang_H2O_LLaMA_1B,2000,6296.553984,0.018207724642508395,7.548125982284546
HanzhiZhang_H2O_LLaMA_1B,4000,6929.513984,0.020723377950377618,10.205564737319946
HanzhiZhang_H2O_LLaMA_1B,8000,8504.584704,0.03232611234288983,16.40303945541382
HanzhiZhang_H2O_LLaMA_1B,16000,11654.728704,0.0038827048459376423,29.214897632598877
HanzhiZhang_H2O_LLaMA_1B,32000,17955.016704,0.004246181003931392,56.41558122634888
HanzhiZhang_H2O_LLaMA_1B,64000,30555.592704,0.0008371371224619942,117.53612089157104
HanzhiZhang_H2O_LLaMA_1B,128000,OOM,OOM,OOM
HanzhiZhang_H2O_LLaMA_1B,256000,OOM,OOM,OOM
HanzhiZhang_StreamingLLM_LLaMA_1B,2000,6296.553984,0.05536848067698403,7.141428232192993
HanzhiZhang_StreamingLLM_LLaMA_1B,4000,6929.513984,0.0750271582366931,10.197752714157104
HanzhiZhang_StreamingLLM_LLaMA_1B,8000,8504.584704,0.06031639029477078,16.409895658493042
HanzhiZhang_StreamingLLM_LLaMA_1B,16000,11654.728704,0.004727653096568032,29.218719482421875
HanzhiZhang_StreamingLLM_LLaMA_1B,32000,17955.016704,0.0031042186619400806,56.41920518875122
HanzhiZhang_StreamingLLM_LLaMA_1B,64000,30555.592704,0.0007110390750118523,117.54647421836853
HanzhiZhang_StreamingLLM_LLaMA_1B,128000,OOM,OOM,OOM
HanzhiZhang_StreamingLLM_LLaMA_1B,256000,OOM,OOM,OOM
HanzhiZhang_MoA_LLaMA_1B,2000,6296.553984,0.13528374678072133,7.111390590667725
HanzhiZhang_MoA_LLaMA_1B,4000,6929.513984,0.036151909104372326,10.179373502731323
HanzhiZhang_MoA_LLaMA_1B,8000,8504.584704,0.060428635446327414,16.38726305961609
HanzhiZhang_MoA_LLaMA_1B,16000,11654.728704,0.011841534408206403,29.19880437850952
HanzhiZhang_MoA_LLaMA_1B,32000,17955.016704,0.0018344986201934068,56.41748356819153
HanzhiZhang_MoA_LLaMA_1B,64000,30555.592704,0.000755087618208067,117.57655954360962
HanzhiZhang_MoA_LLaMA_1B,128000,OOM,OOM,OOM
HanzhiZhang_MoA_LLaMA_1B,256000,OOM,OOM,OOM
HanzhiZhang_DAM_LLaMA_1B,2000,5420.796416,0.13730719705349767,7.282939434051514
HanzhiZhang_DAM_LLaMA_1B,4000,5740.4288,0.09901704027269875,10.099271774291992
HanzhiZhang_DAM_LLaMA_1B,8000,6529.06752,0.06197695221450474,16.135030269622803
HanzhiZhang_DAM_LLaMA_1B,16000,8106.34752,0.03417246653022316,28.671467781066895
HanzhiZhang_DAM_LLaMA_1B,32000,11260.90752,0.006688593065510001,55.53234505653381
HanzhiZhang_DAM_LLaMA_1B,64000,17570.02752,0.0015149197030011536,119.08850383758545
HanzhiZhang_DAM_LLaMA_1B,128000,30188.26752,0.00047536238514850825,272.29318594932556
HanzhiZhang_DAM_LLaMA_1B,256000,OOM,OOM,OOM
meta-llama_Llama-3.2-1B-Instruct,2000,5420.796416,0.14084342170712622,7.100083112716675
meta-llama_Llama-3.2-1B-Instruct,4000,5740.4288,0.09900139054534908,10.100868225097656
meta-llama_Llama-3.2-1B-Instruct,8000,6529.06752,0.061960992104106306,16.1391863822937
meta-llama_Llama-3.2-1B-Instruct,16000,8106.34752,0.007316494655140595,28.65851092338562
meta-llama_Llama-3.2-1B-Instruct,32000,11260.90752,0.013094705456180383,55.55253267288208
meta-llama_Llama-3.2-1B-Instruct,64000,17570.02752,0.0006027762433873622,119.12500500679016
meta-llama_Llama-3.2-1B-Instruct,128000,30188.26752,0.0008257271414191291,272.27040219306946
meta-llama_Llama-3.2-1B-Instruct,256000,OOM,OOM,OOM
